Item ID,Barcode,Description,Category,RRP New,Y,New Sell Inc
197890,9300710003027,EUKY BEAR TUMMY EASE BABY ESSENTIAL OIL BLEND 15ML,FRONT / AROMATHERA / AROMATHERA,19.95,Y,15.99
190748,9316542143527,NATIO AMBIENT ESSENTIAL OIL DIFFUSER,FRONT / AROMATHERA / AROMATHERA,89.95,Y,76.39
191049,9316542145378,NATIO AROMATIC USB ESSENTIAL OIL DIFFUSER,FRONT / AROMATHERA / AROMATHERA,49.95,Y,42.39
52978,9316542137250,NATIO CARRIER OIL JOJOBA 100ML,FRONT / AROMATHERA / AROMATHERA,29.95,Y,25.39
52984,9316542137267,NATIO CARRIER OIL SWEET ALMOND 100ML,FRONT / AROMATHERA / AROMATHERA,9.95,Y,8.39
112757,9316542139094,NATIO ESSENTIAL OIL BLEND AUSTRALIA 10ML,FRONT / AROMATHERA / AROMATHERA,19.95,Y,16.89
52993,9316542137151,NATIO ESSENTIAL OIL BLEND CALM 10ML,FRONT / AROMATHERA / AROMATHERA,19.95,Y,16.89
53003,9316542137144,NATIO ESSENTIAL OIL BLEND ENERGY 10ML,FRONT / AROMATHERA / AROMATHERA,19.95,Y,16.89
163457,9316542143411,NATIO ESSENTIAL OIL BLEND FOCUS ON BREATHING 25ML,FRONT / AROMATHERA / AROMATHERA,29.95,Y,25.39
163462,93165425143466,NATIO ESSENTIAL OIL BLEND FOCUS ON BREATHING ROLL-ON 10ML,FRONT / AROMATHERA / AROMATHERA,14.95,Y,12.69
163458,9316542143428,NATIO ESSENTIAL OIL BLEND FOCUS ON DEFENCE 25ML,FRONT / AROMATHERA / AROMATHERA,29.95,Y,25.39
163463,9316542143558,NATIO ESSENTIAL OIL BLEND FOCUS ON DEFENCE ROLL-ON 10ML,FRONT / AROMATHERA / AROMATHERA,14.95,Y,12.69
163459,9316542143435,NATIO ESSENTIAL OIL BLEND FOCUS ON SLEEP 25ML,FRONT / AROMATHERA / AROMATHERA,29.95,Y,25.39
163464,9316542143473,NATIO ESSENTIAL OIL BLEND FOCUS ON SLEEP ROLL-ON 10ML,FRONT / AROMATHERA / AROMATHERA,14.95,Y,12.69
163460,9316542143442,NATIO ESSENTIAL OIL BLEND FOCUS ON STRESS 25ML,FRONT / AROMATHERA / AROMATHERA,29.95,Y,25.39
163465,9316542143480,NATIO ESSENTIAL OIL BLEND FOCUS ON STRESS ROLL-ON 10ML,FRONT / AROMATHERA / AROMATHERA,14.95,Y,12.69
163461,9316542143459,NATIO ESSENTIAL OIL BLEND FOCUS ON TENSION 25ML,FRONT / AROMATHERA / AROMATHERA,29.95,Y,25.39
163466,9316542143497,NATIO ESSENTIAL OIL BLEND FOCUS ON TENSION ROLL-ON 10ML,FRONT / AROMATHERA / AROMATHERA,14.95,Y,12.69
52989,9316542137182,NATIO ESSENTIAL OIL BLEND HAPPY 10ML,FRONT / AROMATHERA / AROMATHERA,19.95,Y,16.89
112758,9316542139087,NATIO ESSENTIAL OIL BLEND HARMONY 10ML,FRONT / AROMATHERA / AROMATHERA,19.95,Y,16.89
52987,9316542137168,NATIO ESSENTIAL OIL BLEND PASSION 10ML,FRONT / AROMATHERA / AROMATHERA,19.95,Y,16.89
52985,9316542137175,NATIO ESSENTIAL OIL BLEND PURIFY 10ML,FRONT / AROMATHERA / AROMATHERA,19.95,Y,16.89
52988,9316542137137,NATIO ESSENTIAL OIL BLEND RELAX 10ML,FRONT / AROMATHERA / AROMATHERA,19.95,Y,16.89
52990,9316542137120,NATIO ESSENTIAL OIL BLEND SLEEP 10ML,FRONT / AROMATHERA / AROMATHERA,19.95,Y,16.89
112754,9316542139117,NATIO ESSENTIAL OIL PURE EUCALYPTUS 10ML,FRONT / AROMATHERA / AROMATHERA,9.95,Y,8.39
112755,9316542139100,NATIO ESSENTIAL OIL PURE GERANIUM 10ML,FRONT / AROMATHERA / AROMATHERA,18.95,Y,16.09
53006,9316542137038,NATIO ESSENTIAL OIL PURE LAVENDER 10ML,FRONT / AROMATHERA / AROMATHERA,18.95,Y,16.09
52998,9316542137205,NATIO ESSENTIAL OIL PURE LAVENDER 25ML,FRONT / AROMATHERA / AROMATHERA,29.95,Y,25.39
52979,9316542137045,NATIO ESSENTIAL OIL PURE LEMON 10ML,FRONT / AROMATHERA / AROMATHERA,17.95,Y,15.19
53000,9316542137069,NATIO ESSENTIAL OIL PURE LEMON MYRTLE 10ML,FRONT / AROMATHERA / AROMATHERA,19.95,Y,16.89
52982,9316542137052,NATIO ESSENTIAL OIL PURE LEMONGRASS 10ML,FRONT / AROMATHERA / AROMATHERA,16.95,Y,14.39
52999,9316542137083,NATIO ESSENTIAL OIL PURE ORANGE SWEET 10ML,FRONT / AROMATHERA / AROMATHERA,12.95,Y,10.99
53004,9316542137090,NATIO ESSENTIAL OIL PURE PATCHOULI 10ML,FRONT / AROMATHERA / AROMATHERA,18.95,Y,16.09
52996,9316542137106,NATIO ESSENTIAL OIL PURE PEPPERMINT 10ML,FRONT / AROMATHERA / AROMATHERA,18.95,Y,16.09
