sku,name,price,special_price,special_price_from_date,special_price_to_date,sale_price,qty,barcode,ean
167359,L'Oreal Excellence 01 Very Light Nat Blonde,22.75,11.37,5/12/2022,5/26/2022,19.99,3,3600523750207,3600523750207
167357,L'Oreal Excellence 10 Very Light Blonde,22.75,11.37,5/12/2022,5/26/2022,19.99,0,3600523749973,3600523749973
167334,L'Oreal Excellence 2 Black Brown,22.75,11.37,5/12/2022,5/26/2022,19.99,5,3600523750214,3600523750214
167335,L'Oreal Excellence 3 Darkest Brown,22.75,11.37,5/12/2022,5/26/2022,19.99,1,3600523749966,
167336,L'Oreal Excellence 4 Dark Brown,22.75,11.37,5/12/2022,5/26/2022,19.99,3,3600523749980,
167338,L'Oreal Excellence 4.3 Dark Golden Brown,22.75,11.37,5/12/2022,5/26/2022,19.99,2,3600523749997,3600523749997
167339,L'Oreal Excellence 5 Brown,22.75,11.37,5/12/2022,5/26/2022,19.99,4,3600523750016,
167340,L'Oreal Excellence 5.15 Nat Frosted Brown,22.75,11.37,5/12/2022,5/26/2022,19.99,2,3600523750023,
167342,L'Oreal Excellence 5.5 Mahogany Brown,22.75,11.37,5/12/2022,5/26/2022,19.99,3,3600523750047,
167344,L'Oreal Excellence 6 Light Brown,22.75,11.37,5/12/2022,5/26/2022,19.99,4,3600523750061,
167345,L'Oreal Excellence 6.1 Light Ash Brown,22.75,11.37,5/12/2022,5/26/2022,19.99,1,3600523750078,
167346,L'Oreal Excellence 6.3 Light Golden Brown,22.75,11.37,5/12/2022,5/26/2022,19.99,2,3600523750085,3600523750085
167348,L'Oreal Excellence 7 Dark Blonde,22.75,11.37,5/12/2022,5/26/2022,19.99,4,3600523750115,
167349,L'Oreal Excellence 7.1 Dark Ash Blonde,22.75,11.37,5/12/2022,5/26/2022,19.99,1,3600523750122,
167350,L'Oreal Excellence 7.3 Dark Golden Blonde,22.75,11.37,5/12/2022,5/26/2022,19.99,3,3600523750139,3600523750139
167351,L'Oreal Excellence 8 Blonde,22.75,11.37,5/12/2022,5/26/2022,19.99,6,3600523750146,
167352,L'Oreal Excellence 8.1 Ash Blonde,22.75,11.37,5/12/2022,5/26/2022,19.99,4,3600523750153,
167353,L'Oreal Excellence 8.3 Golden Blonde,22.75,11.37,5/12/2022,5/26/2022,19.99,5,3600523750160,
167354,L'Oreal Excellence 9 Light Blonde,22.75,11.37,5/12/2022,5/26/2022,19.99,5,3600523750177,
167355,L'Oreal Excellence 9.1 Light Ash Blonde,22.75,11.37,5/12/2022,5/26/2022,19.99,3,3600523750184,
54200,L'Oreal Excellence Age Perfect 5.03 Warm Golden Brown,19.95,9.97,5/12/2022,5/26/2022,17.99,0,3600523227464,3600523227464
46618,L'Oreal Excellence Age Perfect 7.32 Dk Gold Blonde,19.95,9.97,5/12/2022,5/26/2022,17.99,1,3600523015337,3600523015337
46872,L'Oreal Excellence Age Perfect 8.31 Pure Beige Blonde,19.95,9.97,5/12/2022,5/26/2022,17.99,1,3600523015306,3600523015306
46873,L'Oreal Excellence Age Perfect 8.32 Nat Rose Blonde,19.95,9.97,5/12/2022,5/26/2022,17.99,2,3600523015313,3600523015313
46875,L'Oreal Excellence Age Perfect 9.13 Light Cream Blonde,19.95,9.97,5/12/2022,5/26/2022,17.99,1,3600523015276,3600523015276
46619,L'Oreal Excellence Age Perfect 9.31 Light Sand Blonde,19.95,9.97,5/12/2022,5/26/2022,17.99,3,3600523015283,3600523015283
159440,Duro-Tuss Children's Cough Liquid Night-Time,16.5,11.99,5/12/2022,5/26/2022,13.49,3,9314057012109,
168501,L'Oreal False Lash Bambi Mascara Black,25.95,12.97,5/12/2022,5/26/2022,21.99,8,9344329184500,9344329184500
181165,L'Oreal False Lash Bambi Mascara Waterproof,25.95,12.97,5/12/2022,5/26/2022,21.99,7,9344329189857,9344329189857
36312,L'Oreal False Lash Superstar Mascara Black C,28.95,14.47,5/12/2022,5/26/2022,24.59,1,9344329172262,9344329172262
170064,L'Oreal False Lash Superstar X Fibres Mascara C,28.95,14.47,5/12/2022,5/26/2022,24.59,3,9344329172248,9344329172248
166619,L'Oreal False Lash Telescopic Mascara Magnetic Black,26.95,13.47,5/12/2022,5/26/2022,22.89,9,9344329172309,9344329172309
154740,L'Oreal False Lash X Fiber Resist Wtp Mascara,28.95,14.47,5/12/2022,5/26/2022,24.59,5,9344329170619,9344329170619
163131,L'Oreal Infallible More Than Concealer 320 Porcelain,29.95,14.97,5/12/2022,5/26/2022,25.39,0,30173552,30173552
163120,L'Oreal Infal More Than Concealer 322 Ivory,29.95,14.97,5/12/2022,5/26/2022,25.39,7,30173576,30173576
163121,L'Oreal Infal More Than Concealer 323 Fawn,29.95,14.97,5/12/2022,5/26/2022,25.39,3,30173583,30173583
163132,L'Oreal Infallible More Than Concealer 324 Oatmeal,29.95,14.97,5/12/2022,5/26/2022,25.39,0,30173590,30173590
163129,L'Oreal Infal More Than Concealer 325 Bisque,29.95,14.97,5/12/2022,5/26/2022,25.39,3,30173606,30173606
163122,L'Oreal Infal More Than Concealer 326 Vanilla,29.95,14.97,5/12/2022,5/26/2022,25.39,7,30173613,30173613
163133,L'Oreal Infallible More Than Concealer 327 Cashmer,29.95,14.97,5/12/2022,5/26/2022,25.39,0,30173620,30173620
163134,L'Oreal Infallible More Than Concealer 329 Cashew,29.95,14.97,5/12/2022,5/26/2022,25.39,0,30173644,30173644
163124,L'Oreal Infal More Than Concealer 331 Latte,29.95,14.97,5/12/2022,5/26/2022,25.39,0,30173415,30173415
163135,L'Oreal Infallible More Than Concealer 332 Amber,29.95,14.97,5/12/2022,5/26/2022,25.39,0,30173422,30173422
163136,L'Oreal Infallible More Than Concealer 334 Walnut,29.95,14.97,5/12/2022,5/26/2022,25.39,0,30173446,30173446
163126,L'Oreal Infal More Than Concealer 335Caramel,29.95,14.97,5/12/2022,5/26/2022,25.39,3,30173453,30173453
163137,L'Oreal Infallible More Than Concealer 336 Toffee,29.95,14.97,5/12/2022,5/26/2022,25.39,0,30173460,30173460
163127,L'Oreal Infal More Than Concealer 337 Almond,29.95,14.97,5/12/2022,5/26/2022,25.39,1,30173477,30173477
163128,L'Oreal Infal More Than Concealer 338 Honey,29.95,14.97,5/12/2022,5/26/2022,25.39,2,30173484,30173484
35733,L'Oreal Infall 2 Step Lip 109 Blossomming Berry,29.95,14.97,5/12/2022,5/26/2022,25.39,1,3600522336884,3600522336884
31171,L'Oreal Infall 2 Step Lip 110 Timeless Rose,29.95,14.97,5/12/2022,5/26/2022,25.39,3,3600522336891,3600522336891
19142,L'Oreal Infall 2 Step Lip 111 Permanent Blush,29.95,14.97,5/12/2022,5/26/2022,25.39,3,3600522336907,3600522336907
33480,L'Oreal Infall 2 Step Lip 113 Invincible Sable,29.95,14.97,5/12/2022,5/26/2022,25.39,1,3600522336921,3600522336921
183166,Difflam Plus Anaesthetic Sore Throat Spray 30mL,18.99,14.24,5/12/2022,5/26/2022,15.99,3,9314057012093,9314057012093
18892,L'Oreal Infall 2 Step Lip 121 Flawless Fuchsia,29.95,14.97,5/12/2022,5/26/2022,25.39,2,3600522337003,3600522337003
36334,L'Oreal Infall 2 Step Lip 209 Violet Parfait,29.95,14.97,5/12/2022,5/26/2022,25.39,4,3600522337034,3600522337034
38682,L'Oreal Infall 2 Step Lip 213 Toujours Teaberry,29.95,14.97,5/12/2022,5/26/2022,25.39,3,3600522337072,3600522337072
22392,L'Oreal Infall 2 Step Lip 312 Incessant Russet,29.95,14.97,5/12/2022,5/26/2022,25.39,3,3600522337119,3600522337119
36927,L'Oreal Infall 2 Step Lip 506 Red Infallable,29.95,14.97,5/12/2022,5/26/2022,25.39,3,3600522337188,3600522337188
38681,L'Oreal Infall 2 Step Lip 507 Relentless Rouge,29.95,14.97,5/12/2022,5/26/2022,25.39,1,3600522337195,3600522337195
38683,L'Oreal Infall 2 Step Lip 700 Boundless Burgundy,29.95,14.97,5/12/2022,5/26/2022,25.39,2,3600522634027,3600522634027
